uniqueID	Date	real_match	registered_voter	weight	q1	age	sex	q4	q5	q6	q7	q8	q9	q10	q11a	q11b	q11c	q11d	q11e	q12	q13	q14	q15	q16	q17	q18	latino	race	q21	race_combine	q4_rollup	q5_rollup	q6_rollup	q7_rollup	q10_rollup	q12_rollup	surveyMode	panel_respondent	filerace	dma	clarityparty	clarityturnout	partyfile	tax_score	choice_score	church_score	enviro_score	college_score	guncontrol_score	gunowner_score	progressive_gunowner_score	tv_cable	tv_satellite	tv_broadcast	cellphone_score	commercial_party	marijuana_score	low_tv	trump_approve_score	retired_score	county_name
1604	2020-04-04	1	1	0.321406	3	87	2	1	0	9	9	2		9	3														0	1	2	9	4	4	4		IVR	2	1	517	5	5	1	3	3	3	3	3	4	5	3	1	4	1	1	5	2	1	1	5	IREDELL
1605	2020-04-04	1	1	1.24728	4	52	1						0																0	1							IVR	2	1	560	1	5	2	2	1	4	1	3	1	5	1	1	4	1	1	1	2	2	5	1	CUMBERLAND
1606	2020-04-04	1	1	2.24823	4	61	2	4	9	2	2	2																	0	1	3	9	2	2			IVR	2	1	517	5	5	1	3	4	2	2	5	5	4	3	4	2	1	1	3	4	3	1	1	MECKLENBURG
1607	2020-04-04	1	1	0.178311	2	75	1	2	0	1	1																		0	1	2	9	2	2			IVR	2	1	560	2	5	3	3	2	3	1	2	1	4	1	3	3	1	1	4	3	1	3	4	DURHAM
1608	2020-04-04	1	1	0.853637	3	55	2	3	9	0		2		2	1	2	2	2	2	6	1	2	9	2	1	2	2	2	1	2	2	9	1		2	3	IVR	2	2	517	5	5	1			3		3										1	2	1	MECKLENBURG
1609	2020-04-04	1	1	0.226796	3	79	1	2	9	0		2		0	2	2	2	2	2	2	1	2	2	2	1	2	2	1	2	1	2	9	1		1	2	IVR	2	1	550	5	5	3	3	3	4	3	2	5	3	3	4	2	1	1	5	3	1	1	5	BRUNSWICK
1610	2020-04-04	2		1.64602	3	46	2	4	1	6	6	1	2	0	1	2	1	2	2	9	1	2	9	3	2	1	2	1	2	1	3	1	3	3	1	4	IVR	2																							
912	2020-04-04	2		0.447415	4	50	1	4	0	2	0	1		0	2	2	2	2	2	9	1	2	2	2	1	2	2	1	1	1	3	9	2	1	1	4	IVR	1																							
1611	2020-04-04	2		0.624983	3	63	2	5	1	5	5	1	2	1	1	1	1	1	1	5	1	2	2	2	1	2	2	2	2	2	3	1	3	3	2	3	IVR	2																							
1612	2020-04-04	1	1	0.447415	4	56	1						0																0	1							IVR	2	1	560	5	5	1	3	4	2	2	2	4	2	2	4	2	1	1	5	4	1	1	1	CUMBERLAND
