uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name,Completed Survey,week,Panel Respondent
1,2020-03-29,Yes,Yes,3.5871,Very Good,38,Female,5.0,Three or more,,,,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,517.0,1.0,5.0,Other / Unaffiliated,,3.0,4.0,2.0,5.0,3.0,2.0,,3.0,,,,,3.0,1.0,3.0,1.0,UNION,False,week1,
2,2020-03-29,Yes,Yes,0.4269850000000001,Good,50,Female,3.0,None,0.0,,No,,1.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,1.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,ASHE,True,week1,
3,2020-03-29,Yes,No,0.375615,Good,56,Female,2.0,None,0.0,,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,4.0,,Other / Unaffiliated,,2.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,,True,week1,
4,2020-03-29,Yes,No,0.504467,Fair,52,Female,3.0,One,9.0,9.0,Yes,Yes,0.0,Yes,Yes,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,518.0,3.0,,Other / Unaffiliated,,2.0,3.0,2.0,3.0,3.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,,True,week1,
5,2020-03-29,Yes,Yes,1.61459,Very Good,58,Female,2.0,None,1.0,1.0,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,Yes,,Yes,Hispanic or Latino,IVR,Other,518.0,5.0,5.0,Democrat,3.0,5.0,2.0,3.0,5.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,GUILFORD,True,week1,
6,2020-03-29,Yes,Yes,0.5587449999999999,Good,54,Male,,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,518.0,1.0,5.0,Republican,1.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,RANDOLPH,False,week1,
7,2020-03-29,Yes,Yes,1.17043,Very Good,54,Male,3.0,None,4.0,4.0,Yes,,0.0,Yes,Yes,,,Yes,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,5.0,5.0,Other / Unaffiliated,3.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,CUMBERLAND,True,week1,
8,2020-03-29,Yes,Yes,1.20125,Very Good,54,Female,2.0,None,0.0,,No,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,5.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,UNION,False,week1,
9,2020-03-29,No,,1.6684900000000005,Good,38,Male,1.0,None,9.0,9.0,Unsure,,0.0,Yes,Yes,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1,
10,2020-03-29,Yes,Yes,1.50641,Poor,26,Female,3.0,None,1.0,1.0,No,,0.0,Yes,No,No,No,Yes,9.0,Yes,Unsure,Unsure,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,518.0,1.0,4.0,Republican,,3.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,,,4.0,1.0,4.0,1.0,RANDOLPH,True,week1,
